the, 181, 7.1598096%
and, 169, 6.685127%
her, 89, 3.5205696%
to, 77, 3.045886%
she, 57, 2.254747%
it, 31, 1.2262658%
for, 29, 1.147152%
he, 27, 1.068038%
but, 26, 1.028481%
of, 25, 0.988924%
said, 25, 0.988924%
then, 25, 0.988924%
they, 25, 0.988924%
at, 24, 0.94936705%
came, 24, 0.94936705%
that, 24, 0.94936705%
when, 23, 0.9098101%
you, 23, 0.9098101%
was, 22, 0.87025315%
had, 21, 0.8306962%
into, 21, 0.8306962%
in, 20, 0.79113925%
a, 19, 0.7515823%
all, 19, 0.7515823%
pick, 19, 0.7515823%
home, 18, 0.7120253%
s, 18, 0.7120253%
tree, 18, 0.7120253%
with, 18, 0.7120253%
on, 17, 0.67246836%
ashputtel, 16, 0.6329114%
no, 16, 0.6329114%
not, 16, 0.6329114%
go, 15, 0.5933544%
his, 15, 0.5933544%
again, 14, 0.5537975%
as, 14, 0.5537975%
away, 14, 0.5537975%
little, 14, 0.5537975%
went, 14, 0.5537975%
mother, 13, 0.5142405%
out, 13, 0.5142405%
so, 13, 0.5142405%
by, 12, 0.47468352%
down, 12, 0.47468352%
is, 12, 0.47468352%
king, 12, 0.47468352%
one, 12, 0.47468352%
shoe, 12, 0.47468352%
this, 12, 0.47468352%
ashes, 11, 0.43512657%
back, 11, 0.43512657%
bride, 11, 0.43512657%
father, 11, 0.43512657%
hazel, 11, 0.43512657%
prince, 11, 0.43512657%
two, 11, 0.43512657%
brought, 10, 0.39556962%
have, 10, 0.39556962%
him, 10, 0.39556962%
put, 10, 0.39556962%
son, 10, 0.39556962%
took, 10, 0.39556962%
clothes, 9, 0.35601264%
first, 9, 0.35601264%
them, 9, 0.35601264%
were, 9, 0.35601264%
doves, 8, 0.3164557%
hither, 8, 0.3164557%
me, 8, 0.3164557%
off, 8, 0.3164557%
before, 7, 0.27689874%
dance, 7, 0.27689874%
feast, 7, 0.27689874%
house, 7, 0.27689874%
now, 7, 0.27689874%
sisters, 7, 0.27689874%
slipper, 7, 0.27689874%
there, 7, 0.27689874%
too, 7, 0.27689874%
who, 7, 0.27689874%
will, 7, 0.27689874%
ball, 6, 0.23734176%
beautiful, 6, 0.23734176%
bird, 6, 0.23734176%
cried, 6, 0.23734176%
fine, 6, 0.23734176%
haste, 6, 0.23734176%
i, 6, 0.23734176%
left, 6, 0.23734176%
made, 6, 0.23734176%
shake, 6, 0.23734176%
should, 6, 0.23734176%
thought, 6, 0.23734176%
